School Year,Gender Description,Geo Code,Geography,Grade Code,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI ,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI
2010-2011,Total,175,Medfield,15,Total,Asthma,259,2038,12.7,11.2,14.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,176,Medford,15,Total,Asthma,444,3986,11.1,10.1,12.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,177,Medway,15,Total,Asthma,217,1842,11.8,10.2,13.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,178,Melrose,15,Total,Asthma,405,2920,13.9,12.5,15.2,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,179,Mendon,15,Total,Asthma,94,868,10.8,8.6,13,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,180,Merrimac,15,Total,Asthma,79,796,9.9,7.7,12.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,181,Methuen,15,Total,Asthma,447,5571,8,7.3,8.8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,182,Middleborough,15,Total,Asthma,383,2718,14.1,12.7,15.5,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,183,Middlefield,15,Total,Asthma,7,37,18.9,4.9,32.9,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,184,Middleton,15,Total,Asthma,118,1061,11.1,9.1,13.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,185,Milford,15,Total,Asthma,291,3049,9.5,8.4,10.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,186,Millbury,15,Total,Asthma,155,1322,11.7,9.9,13.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,187,Millis,15,Total,Asthma,117,1037,11.3,9.2,13.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,188,Millville,15,Total,Asthma,53,426,12.4,9.1,15.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,189,Milton,15,Total,Asthma,394,3438,11.5,10.3,12.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,190,Monroe,15,Total,Asthma,NS,12,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,191,Monson,15,Total,Asthma,196,981,20,17.2,22.8,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,192,Montague,15,Total,Asthma,85,703,12.1,9.5,14.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,193,Monterey,15,Total,Asthma,6,71,8.5,1.7,15.2,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,194,Montgomery,15,Total,Asthma,NS,69,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,195,Mount Washington,15,Total,Asthma,NS,11,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,196,Nahant,15,Total,Asthma,37,300,12.3,8.4,16.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,197,Nantucket,15,Total,Asthma,71,1084,6.5,5,8.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,198,Natick,15,Total,Asthma,437,3892,11.2,10.2,12.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,199,Needham,15,Total,Asthma,467,4455,10.5,9.5,11.4,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,200,New Ashford,15,Total,Asthma,0,25,0,0,25.6,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,201,New Bedford,15,Total,Asthma,1414,10360,13.6,12.9,14.4,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,202,New Braintree,15,Total,Asthma,12,114,10.5,4.6,16.5,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,203,New Marlborough,15,Total,Asthma,22,119,18.5,10.8,26.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,204,New Salem,15,Total,Asthma,12,90,13.3,5.8,20.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,205,Newbury,15,Total,Asthma,40,773,5.2,3.6,6.8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,206,Newburyport,15,Total,Asthma,125,1843,6.8,5.6,8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,207,Newton,15,Total,Asthma,984,9571,10.3,9.6,10.9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,208,Norfolk,15,Total,Asthma,131,1364,9.6,8,11.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,209,North Adams,15,Total,Asthma,141,1154,12.2,10.2,14.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,210,North Andover,15,Total,Asthma,422,3823,11,10,12.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,211,North Attleborough,15,Total,Asthma,631,3665,17.2,15.9,18.6,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,212,North Brookfield,15,Total,Asthma,19,446,4.3,2.3,6.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,213,North Reading,15,Total,Asthma,171,1978,8.6,7.3,9.9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,214,Northampton,15,Total,Asthma,276,2190,12.6,11.1,14.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,215,Northborough,15,Total,Asthma,213,2019,10.5,9.1,12,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,216,Northbridge,15,Total,Asthma,194,2045,9.5,8.2,10.8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,217,Northfield,15,Total,Asthma,45,347,13,9.2,16.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,218,Norton,15,Total,Asthma,209,2220,9.4,8.1,10.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,219,Norwell,15,Total,Asthma,153,1701,9,7.6,10.4,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,220,Norwood,15,Total,Asthma,314,2703,11.6,10.3,12.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,221,Oak Bluffs,15,Total,Asthma,60,395,15.2,11.3,19,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,222,Oakham,15,Total,Asthma,22,194,11.3,6.6,16.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,223,Orange,15,Total,Asthma,152,874,17.4,14.6,20.2,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,224,Orleans,15,Total,Asthma,28,299,9.4,5.9,12.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,225,Otis,15,Total,Asthma,26,116,22.4,13.8,31,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,226,Oxford,15,Total,Asthma,96,1589,6,4.8,7.3,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,227,Palmer,15,Total,Asthma,240,1214,19.8,17.3,22.3,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,228,Paxton,15,Total,Asthma,26,525,5,3,6.9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,229,Peabody,15,Total,Asthma,350,4722,7.4,6.6,8.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,230,Pelham,15,Total,Asthma,6,96,6.3,1.2,11.3,Statistically significantly lower,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,231,Pembroke,15,Total,Asthma,245,2478,9.9,8.6,11.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,232,Pepperell,15,Total,Asthma,204,1477,13.8,11.9,15.7,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,233,Peru,15,Total,Asthma,6,87,6.9,1.4,12.4,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,234,Petersham,15,Total,Asthma,8,104,7.7,2.4,13,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,235,Phillipston,15,Total,Asthma,12,170,7.1,3.1,11.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,236,Pittsfield,15,Total,Asthma,644,4423,14.6,13.4,15.7,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,237,Plainfield,15,Total,Asthma,0,42,0,0,15.2,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,238,Plainville,15,Total,Asthma,192,994,19.3,16.6,22,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,239,Plymouth,15,Total,Asthma,661,6065,10.9,10.1,11.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,240,Plympton,15,Total,Asthma,40,317,12.6,8.7,16.5,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,241,Princeton,15,Total,Asthma,21,406,5.2,3,7.4,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,242,Provincetown,15,Total,Asthma,9,80,11.3,3.9,18.6,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,243,Quincy,15,Total,Asthma,726,6890,10.5,9.8,11.3,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,244,Randolph,15,Total,Asthma,505,2816,17.9,16.4,19.5,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,245,Raynham,15,Total,Asthma,141,1379,10.2,8.5,11.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,246,Reading,15,Total,Asthma,219,3188,6.9,6,7.8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,247,Rehoboth,15,Total,Asthma,101,1319,7.7,6.2,9.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,248,Revere,15,Total,Asthma,504,4718,10.7,9.7,11.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,249,Richmond,15,Total,Asthma,11,97,11.3,4.6,18,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,250,Rochester,15,Total,Asthma,67,735,9.1,6.9,11.3,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,251,Rockland,15,Total,Asthma,212,1975,10.7,9.3,12.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,252,Rockport,15,Total,Asthma,49,568,8.6,6.2,11,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,253,Rowe,15,Total,Asthma,14,49,28.6,13.6,43.5,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,254,Rowley,15,Total,Asthma,62,727,8.5,6.4,10.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,255,Royalston,15,Total,Asthma,13,100,13,5.9,20.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,256,Russell,15,Total,Asthma,22,229,9.6,5.6,13.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,257,Rutland,15,Total,Asthma,75,1230,6.1,4.7,7.5,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,258,Salem,15,Total,Asthma,417,3563,11.7,10.6,12.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,259,Salisbury,15,Total,Asthma,38,772,4.9,3.4,6.5,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,260,Sandisfield,15,Total,Asthma,NS,69,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,261,Sandwich,15,Total,Asthma,212,2497,8.5,7.3,9.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,262,Saugus,15,Total,Asthma,286,2467,11.6,10.2,12.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,263,Savoy,15,Total,Asthma,7,61,11.5,3,20,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,264,Scituate,15,Total,Asthma,191,2662,7.2,6.2,8.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,265,Seekonk,15,Total,Asthma,183,1443,12.7,10.8,14.5,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,266,Sharon,15,Total,Asthma,185,2539,7.3,6.2,8.3,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,267,Sheffield,15,Total,Asthma,46,322,14.3,10.2,18.4,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,268,Shelburne,15,Total,Asthma,31,126,24.6,15.9,33.3,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,269,Sherborn,15,Total,Asthma,91,702,13,10.3,15.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,270,Shirley,15,Total,Asthma,52,633,8.2,6,10.4,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,271,Shrewsbury,15,Total,Asthma,393,4850,8.1,7.3,8.9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,272,Shutesbury,15,Total,Asthma,16,191,8.4,4.3,12.5,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,273,Somerset,15,Total,Asthma,237,1737,13.6,11.9,15.4,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,274,Somerville,15,Total,Asthma,358,3940,9.1,8.1,10,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,275,South Hadley,15,Total,Asthma,156,1425,10.9,9.2,12.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,276,Southampton,15,Total,Asthma,99,628,15.8,12.7,18.9,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,277,Southborough,15,Total,Asthma,145,1580,9.2,7.7,10.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,278,Southbridge,15,Total,Asthma,422,1913,22.1,20,24.2,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,279,Southwick,15,Total,Asthma,164,1090,15,12.7,17.3,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,280,Spencer,15,Total,Asthma,145,1242,11.7,9.8,13.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,281,Springfield,15,Total,Asthma,3833,20737,18.5,17.9,19.1,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,282,Sterling,15,Total,Asthma,72,980,7.3,5.6,9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,283,Stockbridge,15,Total,Asthma,10,117,8.5,3.2,13.8,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,284,Stoneham,15,Total,Asthma,162,2061,7.9,6.6,9.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,285,Stoughton,15,Total,Asthma,282,2771,10.2,9,11.4,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,286,Stow,15,Total,Asthma,90,928,9.7,7.7,11.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,287,Sturbridge,15,Total,Asthma,135,1121,12,10,14.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,288,Sudbury,15,Total,Asthma,304,3059,9.9,8.8,11.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,289,Sunderland,15,Total,Asthma,19,231,8.2,4.5,11.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,290,Sutton,15,Total,Asthma,249,1237,20.1,17.6,22.6,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,291,Swampscott,15,Total,Asthma,162,1580,10.3,8.7,11.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,292,Swansea,15,Total,Asthma,200,1532,13.1,11.2,14.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,293,Taunton,15,Total,Asthma,752,6132,12.3,11.4,13.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,294,Templeton,15,Total,Asthma,111,881,12.6,10.3,14.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,295,Tewksbury,15,Total,Asthma,367,3271,11.2,10.1,12.4,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,296,Tisbury,15,Total,Asthma,37,358,10.3,7,13.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,297,Tolland,15,Total,Asthma,NS,46,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,298,Topsfield,15,Total,Asthma,84,879,9.6,7.5,11.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,299,Townsend,15,Total,Asthma,153,1053,14.5,12.2,16.8,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,300,Truro,15,Total,Asthma,11,138,8,3.3,12.7,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,301,Tyngsborough,15,Total,Asthma,257,1506,17.1,15,19.2,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,302,Tyringham,15,Total,Asthma,0,20,0,0,32,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,303,Upton,15,Total,Asthma,118,1079,10.9,9,12.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,304,Uxbridge,15,Total,Asthma,133,1597,8.3,6.9,9.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,305,Wakefield,15,Total,Asthma,278,2522,11,9.7,12.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,306,Wales,15,Total,Asthma,24,181,13.3,8,18.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,307,Walpole,15,Total,Asthma,376,3175,11.8,10.6,13,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,308,Waltham,15,Total,Asthma,362,3799,9.5,8.5,10.5,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,309,Ware,15,Total,Asthma,174,1038,16.8,14.3,19.3,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,310,Wareham,15,Total,Asthma,209,2252,9.3,8,10.5,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,311,Warren,15,Total,Asthma,93,609,15.3,12.2,18.4,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,312,Warwick,15,Total,Asthma,8,57,14,4.3,23.8,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,313,Washington,15,Total,Asthma,NS,34,NS,NS,NS,NS,        ,80948,693338,11.7,11.6,11.8
2010-2011,Total,314,Watertown,15,Total,Asthma,151,2029,7.4,6.3,8.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,315,Wayland,15,Total,Asthma,172,1828,9.4,8,10.8,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,316,Webster,15,Total,Asthma,153,1661,9.2,7.8,10.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,317,Wellesley,15,Total,Asthma,443,4088,10.8,9.8,11.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,318,Wellfleet,15,Total,Asthma,10,206,4.9,1.8,7.9,Statistically significantly lower,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,319,Wendell,15,Total,Asthma,6,68,8.8,1.8,15.9,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,320,Wenham,15,Total,Asthma,40,500,8,5.5,10.5,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,321,West Boylston,15,Total,Asthma,65,623,10.4,7.9,13,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,322,West Bridgewater,15,Total,Asthma,89,788,11.3,8.9,13.6,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,323,West Brookfield,15,Total,Asthma,51,400,12.8,9.3,16.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,324,West Newbury,15,Total,Asthma,46,617,7.5,5.3,9.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,325,West Springfield,15,Total,Asthma,250,2749,9.1,8,10.2,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,326,West Stockbridge,15,Total,Asthma,6,116,5.2,1,9.3,Statistically significantly lower,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,327,West Tisbury,15,Total,Asthma,21,265,7.9,4.5,11.3,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,328,Westborough,15,Total,Asthma,286,2443,11.7,10.4,13.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,329,Westfield,15,Total,Asthma,315,4031,7.8,7,8.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,330,Westford,15,Total,Asthma,425,3628,11.7,10.6,12.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,331,Westhampton,15,Total,Asthma,28,166,16.9,10.6,23.1,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,332,Westminster,15,Total,Asthma,78,891,8.8,6.8,10.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,333,Weston,15,Total,Asthma,134,1724,7.8,6.5,9.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,334,Westport,15,Total,Asthma,154,1462,10.5,8.9,12.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,335,Westwood,15,Total,Asthma,278,2408,11.5,10.2,12.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,336,Weymouth,15,Total,Asthma,704,5383,13.1,12.1,14,Statistically significantly higher,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,337,Whately,15,Total,Asthma,11,126,8.7,3.6,13.9,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,338,Whitman,15,Total,Asthma,221,1753,12.6,10.9,14.3,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,339,Wilbraham,15,Total,Asthma,152,1746,8.7,7.3,10.1,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,340,Williamsburg,15,Total,Asthma,28,204,13.7,8.6,18.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,341,Williamstown,15,Total,Asthma,24,487,4.9,3,6.9,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,342,Wilmington,15,Total,Asthma,296,2851,10.4,9.2,11.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,343,Winchendon,15,Total,Asthma,55,1244,4.4,3.3,5.6,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,344,Winchester,15,Total,Asthma,334,3152,10.6,9.5,11.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,345,Windsor,15,Total,Asthma,10,93,10.8,4.1,17.4,Not statistically significantly different,Unstable,80948,693338,11.7,11.6,11.8
2010-2011,Total,346,Winthrop,15,Total,Asthma,169,1517,11.1,9.5,12.8,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,347,Woburn,15,Total,Asthma,400,3589,11.1,10.1,12.2,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,348,Worcester,15,Total,Asthma,2167,18971,11.4,10.9,11.9,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,349,Worthington,15,Total,Asthma,14,97,14.4,6.9,22,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,350,Wrentham,15,Total,Asthma,168,1519,11.1,9.4,12.7,Not statistically significantly different,Stable  ,80948,693338,11.7,11.6,11.8
2010-2011,Total,351,Yarmouth,15,Total,Asthma,145,1743,8.3,7,9.7,Statistically significantly lower,Stable  ,80948,693338,11.7,11.6,11.8
2011-2012,Total,1,Abington,15,Total,Asthma,124,1641,7.6,6.2,8.9,Statistically significantly lower,Stable  ,82548,691614,11.9,11.8,12
2011-2012,Total,2,Acton,15,Total,Asthma,360,3325,10.8,9.7,11.9,Not statistically significantly different,Stable  ,82548,691614,11.9,11.8,12
2011-2012,Total,3,Acushnet,15,Total,Asthma,101,1052,9.6,7.7,11.5,Statistically significantly lower,Stable  ,82548,691614,11.9,11.8,12
2011-2012,Total,4,Adams,15,Total,Asthma,122,844,14.5,11.9,17,Not statistically significantly different,Stable  ,82548,691614,11.9,11.8,12
2011-2012,Total,5,Agawam,15,Total,Asthma,377,2785,13.5,12.2,14.9,Statistically significantly higher,Stable  ,82548,691614,11.9,11.8,12
2011-2012,Total,6,Alford,15,Total,Asthma,0,29,0,0,22.1,Not statistically significantly different,Unstable,82548,691614,11.9,11.8,12
